owner_name,property_address,phone,day_offset,send_date,message_text,status
,,,1,2025-12-31,"Hi there, just following up to see if you had a chance to consider discussing your property. I’d be happy to provide insights on the current market and what buyers are looking for. Let me know if you’re open to a quick chat!",pending
,,,3,2026-01-02,Hello again! I wanted to check in and see if you might be interested in learning more about recent sales in your area. It could be helpful info whether or not you’re thinking of selling soon. Feel free to reach out anytime.,pending
,,,7,2026-01-06,"Hi there, Nadine here. I’m touching base to see if you have any questions about your property or the market. I’m here to help whenever you’re ready to explore options or just want to chat about your space.",pending
,,,14,2026-01-13,"Just wanted to check in and see how things are going with your property. If you’re curious about buyer interest or market trends, I’d be glad to share what I know. No pressure—happy to connect whenever it’s convenient for you.",pending
,,,30,2026-01-29,"Hi there, it’s Nadine with KW Commercial. I’m reaching out to see if you might be open to a quick conversation about your property and current market opportunities. I’m here to assist whenever you’re ready. Wishing you a great day!",pending
,,,1,2025-12-31,"Hi, just checking in to see if you had a chance to consider my message about your property. I’d be happy to share some recent market insights if you’re interested. Let me know if a quick chat works for you!",pending
,,,3,2026-01-02,Hope you’re doing well! I wanted to touch base again to see if you might be open to discussing your property sometime soon. I have buyers actively looking and would love to connect when it’s convenient for you.,pending
,,,7,2026-01-06,"Hi there, Nadine here again. I understand selling is a big decision, so no rush. If you have any questions about the market or want to explore options, I’m here to help whenever you’re ready.",pending
,,,14,2026-01-13,"Just reaching out to keep the conversation open. The market near your property has been quite active lately. If you’d like to hear more or discuss your goals, I’m available for a quick call anytime.",pending
,,,30,2026-01-29,Checking in one last time to see if you might be interested in discussing your property in the near future. I’m happy to provide any info or answer questions whenever you’re ready. Wishing you all the best!,pending
